2024-03-09 13:24:41.223 [main] TRACE dev.cisnux.logging.LevelTest - Trace
2024-03-09 13:24:41.224 [main] DEBUG dev.cisnux.logging.LevelTest - Debug
2024-03-09 13:24:41.224 [main] INFO  dev.cisnux.logging.LevelTest - Info
2024-03-09 13:45:23.142 [Thread-3] INFO  dev.cisnux.logging.MyService - [54a75341-a01a-4909-b18a-766b1e093c36] - Service Save
2024-03-09 13:45:23.142 [Thread-3] INFO  dev.cisnux.logging.MyRepository - [54a75341-a01a-4909-b18a-766b1e093c36] - Repository Save
2024-03-09 13:45:23.142 [Thread-4] INFO  dev.cisnux.logging.MyController - [9671d758-d405-488d-a584-8010451bbff6] - Controller Save
2024-03-09 13:45:23.143 [Thread-4] INFO  dev.cisnux.logging.MyService - [9671d758-d405-488d-a584-8010451bbff6] - Service Save
2024-03-09 13:45:23.143 [Thread-4] INFO  dev.cisnux.logging.MyRepository - [9671d758-d405-488d-a584-8010451bbff6] - Repository Save
2024-03-09 13:45:23.143 [Thread-5] INFO  dev.cisnux.logging.MyController - [ca2bf39e-abb4-4f99-bffe-9fe629c09b71] - Controller Save
2024-03-09 13:45:23.143 [Thread-5] INFO  dev.cisnux.logging.MyService - [ca2bf39e-abb4-4f99-bffe-9fe629c09b71] - Service Save
2024-03-09 13:45:23.143 [Thread-5] INFO  dev.cisnux.logging.MyRepository - [ca2bf39e-abb4-4f99-bffe-9fe629c09b71] - Repository Save
2024-03-09 13:45:23.143 [Thread-6] INFO  dev.cisnux.logging.MyController - [157f634d-ec07-4c10-86e0-6e37e5a5aca4] - Controller Save
2024-03-09 13:45:23.143 [Thread-6] INFO  dev.cisnux.logging.MyService - [157f634d-ec07-4c10-86e0-6e37e5a5aca4] - Service Save
2024-03-09 13:45:23.143 [Thread-6] INFO  dev.cisnux.logging.MyRepository - [157f634d-ec07-4c10-86e0-6e37e5a5aca4] - Repository Save
2024-03-09 13:45:23.144 [Thread-7] INFO  dev.cisnux.logging.MyController - [e9989c42-2427-4918-88c3-c3d0080cc5cf] - Controller Save
2024-03-09 13:45:23.144 [Thread-7] INFO  dev.cisnux.logging.MyService - [e9989c42-2427-4918-88c3-c3d0080cc5cf] - Service Save
2024-03-09 13:45:23.144 [Thread-7] INFO  dev.cisnux.logging.MyRepository - [e9989c42-2427-4918-88c3-c3d0080cc5cf] - Repository Save
2024-03-09 13:45:23.144 [Thread-8] INFO  dev.cisnux.logging.MyController - [d2a81e48-cc56-4605-899a-c74fee0e99dc] - Controller Save
2024-03-09 13:45:23.144 [Thread-8] INFO  dev.cisnux.logging.MyService - [d2a81e48-cc56-4605-899a-c74fee0e99dc] - Service Save
2024-03-09 13:45:23.144 [Thread-8] INFO  dev.cisnux.logging.MyRepository - [d2a81e48-cc56-4605-899a-c74fee0e99dc] - Repository Save
2024-03-09 13:45:23.145 [Thread-9] INFO  dev.cisnux.logging.MyController - [b2cd3371-b1e5-482d-8337-e172ba8b3700] - Controller Save
2024-03-09 13:45:23.145 [Thread-9] INFO  dev.cisnux.logging.MyService - [b2cd3371-b1e5-482d-8337-e172ba8b3700] - Service Save
2024-03-09 13:45:23.145 [Thread-9] INFO  dev.cisnux.logging.MyRepository - [b2cd3371-b1e5-482d-8337-e172ba8b3700] - Repository Save
2024-03-09 13:48:20.311 [Thread-0] INFO  dev.cisnux.logging.MyController - [6769a981-b3a4-4e18-8c95-4dfa69d49f46] - Controller Save
2024-03-09 13:48:20.312 [Thread-0] INFO  dev.cisnux.logging.MyService - [6769a981-b3a4-4e18-8c95-4dfa69d49f46] - Service Save
2024-03-09 13:48:20.312 [Thread-0] INFO  dev.cisnux.logging.MyRepository - [6769a981-b3a4-4e18-8c95-4dfa69d49f46] - Repository Save
2024-03-09 13:48:21.318 [Thread-1] INFO  dev.cisnux.logging.MyController - [6ef82c6e-2afc-463a-9dee-99be28b50164] - Controller Save
2024-03-09 13:48:21.319 [Thread-1] INFO  dev.cisnux.logging.MyService - [6ef82c6e-2afc-463a-9dee-99be28b50164] - Service Save
2024-03-09 13:48:21.319 [Thread-1] INFO  dev.cisnux.logging.MyRepository - [6ef82c6e-2afc-463a-9dee-99be28b50164] - Repository Save
2024-03-09 13:48:22.325 [Thread-2] INFO  dev.cisnux.logging.MyController - [90e9f502-4dc9-424c-a790-f3c5bc5f8dc3] - Controller Save
2024-03-09 13:48:22.326 [Thread-2] INFO  dev.cisnux.logging.MyService - [90e9f502-4dc9-424c-a790-f3c5bc5f8dc3] - Service Save
2024-03-09 13:48:22.326 [Thread-2] INFO  dev.cisnux.logging.MyRepository - [90e9f502-4dc9-424c-a790-f3c5bc5f8dc3] - Repository Save
2024-03-09 13:48:23.332 [Thread-3] INFO  dev.cisnux.logging.MyController - [06606b57-fb3f-482d-83fe-f131de183f30] - Controller Save
2024-03-09 13:48:23.333 [Thread-3] INFO  dev.cisnux.logging.MyService - [06606b57-fb3f-482d-83fe-f131de183f30] - Service Save
2024-03-09 13:48:23.333 [Thread-3] INFO  dev.cisnux.logging.MyRepository - [06606b57-fb3f-482d-83fe-f131de183f30] - Repository Save
2024-03-09 13:48:24.335 [Thread-4] INFO  dev.cisnux.logging.MyController - [c3465ec8-3dec-4aa1-beb5-941884397081] - Controller Save
2024-03-09 13:48:24.336 [Thread-4] INFO  dev.cisnux.logging.MyService - [c3465ec8-3dec-4aa1-beb5-941884397081] - Service Save
2024-03-09 13:48:24.336 [Thread-4] INFO  dev.cisnux.logging.MyRepository - [c3465ec8-3dec-4aa1-beb5-941884397081] - Repository Save
2024-03-09 13:48:25.340 [Thread-5] INFO  dev.cisnux.logging.MyController - [ed56c182-0b3d-44bb-b246-3db726909009] - Controller Save
